Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
American Standard	American Standard	AccuComfort Platinum 18	10153461	4A6V8037A1	TEM8A0D48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35800	Yes	Centrally Ducted	N/A	N/A		8400	31800	31700	0.51	2.48	2.49	4.82	3.76	3.74		15930	25800	26100	1.77	2.48	3.08	2.64	3.05	2.48		16688		20000	2.52		2.98	1.94		1.95		63%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10153463	4A6V8048A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	46500	Yes	Centrally Ducted	N/A	N/A		11900	42500	43400	0.81	2.24	3.50	4.30	5.56	3.64		21310	34200	35100	2.62	2.24	4.61	2.38	4.47	2.24		21900		26460	3.68		4.40	1.74		1.75		61%	75%																					
American Standard	American Standard	AccuComfort Platinum 18	10153464	4A6V8048A1	TEM8A0C60V51+TDR	HRCU-A-CB	10.00	18.00	12.50	47500	Yes	Centrally Ducted	N/A	N/A		12100	44500	44000	0.78	2.40	3.47	4.54	5.43	3.72		22630	36800	37200	2.58	2.40	4.56	2.56	4.49	2.40		23744		28520	3.64		4.36	1.92		1.90		65%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	10153468	4A6V8049A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	47500	Yes	Centrally Ducted	N/A	N/A		11900	42000	32700	0.76	2.36	2.42	4.58	5.21	3.96		22410	35600	36000	2.56	2.36	4.48	2.56	4.42	2.36		23504		27980	3.62		4.28	1.90		1.90		86%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10153469	4A6V8049A1	TEM8A0C60V51+TDR	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted	N/A	N/A		12200	43500	31000	0.78	2.34	2.50	4.58	5.45	3.64		22520	36200	36600	2.61	2.34	4.57	2.52	4.53	2.34		23504		28100	3.68		4.38	1.88		1.90		91%	77%																					
American Standard	American Standard	AccuComfort Platinum 20	8759144	4A6V0036A1	*UD2C080ACV4 & 4PXCCU48BS3	HRCU-A-CB	10.00	21.00	13.00	36800	Yes	Centrally Ducted	N/A	N/A		8500	33200	33300	0.52	2.42	2.41	4.78	4.02	4.04		15930	26600	26700	1.84	2.42	3.24	2.54	3.22	2.42		16688		20220	2.62		3.10	1.86		1.90		61%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	8759145	4A6V0036A1	*UD2C100ACV5 & 4PXCCU48BS3	HRCU-A-CB	10.00	21.00	13.00	37000	Yes	Centrally Ducted	N/A	N/A		8400	33200	33300	0.51	2.44	2.37	4.82	3.99	4.12		15710	26600	26600	1.81	2.44	3.20	2.54	3.19	2.44		16488		20080	2.58		3.06	1.88		1.90		60%	75%																					
American Standard	American Standard	AccuComfort Platinum 18	8759184	4A6V8036A1	*UD2C100ACV5 & 4PXCCU36BS3	HRCU-A-CB	10.00	18.00	12.50	35000	Yes	Centrally Ducted	N/A	N/A		8300	31800	32100	0.50	2.34	2.46	4.86	3.98	3.82		16040	26000	26200	1.83	2.34	3.29	2.56	3.26	2.34		16934		20300	2.60		3.14	1.90		1.90		63%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8759191	4A6V8036A1	*UD2C100ACV5 & 4PXCCU48BS3	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8400	32600	32800	0.51	2.44	2.35	4.82	3.91	4.08		16040	26200	26400	1.79	2.44	3.17	2.62	3.15	2.44		16894		20300	2.56		3.04	1.94		1.95		62%	77%																					
American Standard	American Standard	AccuComfort Platinum 18	8759192	4A6V8036A1	*UD2B100ACV3 & 4PXCCU60BS3	HRCU-A-CB	10.00	18.00	12.50	"36,600"	Yes	Centrally Ducted	N/A	N/A		8300	32400	32500	0.50	2.40	2.39	4.86	3.96	3.98		16480	26400	26500	1.83	2.40	3.23	2.64	3.22	2.40		17440		20740	2.62		3.10	1.96		1.95		64%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8759235	4A6V8048A1	*UD2D120ACV5 & 4PXCDU60BS3	HRCU-A-CB	10.00	18.00	12.50	"48,000"	Yes	Centrally Ducted	N/A	N/A		12300	44000	44600	0.78	2.40	3.40	4.62	5.37	3.84		23510	37000	37400	2.56	2.40	4.56	2.70	4.52	2.40		24696		29340	3.62		4.34	2.00		2.00		66%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761163	4A6V8036A1	*UD2B080ACV3 & 4TXCB006DS3	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted	N/A	N/A		8400	32800	33000	0.51	2.40	2.42	4.82	4.00	4.00		16590	26600	26800	1.87	2.40	3.28	2.60	3.25	2.40		17540		20900	2.66		3.16	1.94		1.95		63%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	8761164	4A6V8036A1	*UD2B060ACV3 & 4TXCB006DS3	HRCU-A-CB	10.00	18.00	12.50	36000	Yes	Centrally Ducted	N/A	N/A		8400	32800	33000	0.52	2.40	2.43	4.74	4.00	3.98		16590	26600	26800	1.86	2.40	3.28	2.62	3.25	2.40		17540		20900	2.66		3.16	1.94		1.95		63%	78%																					
