Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	8996108	MXZ-3C24NAHZ2	Non-Ducted Indoor Units	HMSV-A-CB	10	19	13.5	"22,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"11,400"	"25,000"	"25,000"	0.93	1.72	1.72	3.59	4.25	4.25		"13,100"	"14,000"	"25,000"	1.50	1.62	3.56	2.83	2.53	2.06		"12,500"		"25,000"	1.60		3.82	2.29		1.92		100%	100%		Integrated	120W @230V	(Starting condition) A) Compressor must be turned on to activate base heater. B) Outside temp is below 32F for 5 minutes. C) Defrost thermistor reads under 30.2F for 5 minutes -All of these must be satisfied to activate. (Stop condition) A) Outside temp is over 46.4F for 5 minutes. B) Defrost thermistor reads over 59F for 5 minutes		-13	"10,000"	z	"22,050"	1.40		3.52	2.09		1.83						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	4908219	MUZ-FE09NA	MSZ-FE09NA	HRCU-A-CB-O	10	26	15.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"10,900"	"18,000"	0.15	0.71	2.25	5.06	4.50	2.34		"1,700"	"6,700"	"12,500"	0.11	0.65	1.73	4.53	3.02	2.12		"1,200"		"10,900"	0.08		1.46	4.40		2.19		61%	87%		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A		z													
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	4217888	MUZ-FE18NA	MSZ-FE18NA	N/A	10.3	20.2	14.2		Yes	Ductless	Single-zone	N/A		"7,500"	"21,600"	"29,700"	0.52	1.54	2.42	4.23	4.11	3.60		"4,300"	"11,700"	"25,850"	0.37	1.24	3.28	3.41	2.76	2.31		"3,000"		"21,830"	0.28		3.15	3.14		2.03		74%	84%		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A		z													
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	4934170	MUZ-FE12NA	MSZ-FE12NA	HRCU-A-CB-O	10.5	23	12.9	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"13,600"	"21,000"	0.15	0.95	2.25	5.06	4.20	2.74		"1,700"	"8,300"	"13,600"	0.11	0.80	1.78	4.53	3.04	2.24		"1,200"		"13,600"	0.08		1.62	4.40		2.46		65%	100%		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A		z													
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7434486	MXZ-4C36NAHZ	Mixed	HMSV-A-CB	10.7	17.5	12.7	"36,000"	Yes	Ductless	Multi-zone	Mixed Ducted and Non-ducted Indoor Units		"22,500"	"45,000"	"45,000"	1.30	3.80	3.80	5.07	3.48	3.48		"22,500"	"35,000"	"45,000"	2.15	4.05	5.35	3.07	2.54	2.47		"22,500"		"45,000"	2.62		6.21	2.52		2.16		100%	100%		N/A				-13	"22,500"	z	"33,800"	3.14		5.32	2.10		1.89						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7451794	MXZ-3C30NAHZ	Non-Ducted Indoor Units	N/A	11	18	12.5		Yes	Ductless	Multi-zone	N/A		"11,400"	"28,600"	"28,600"	0.93	2.10	2.10	3.59	4.00	4.00		"13,100"	"18,000"	"28,600"	1.50	1.99	4.19	2.83	2.65	2.00		"12,500"		"28,600"	1.60		4.79	2.29		1.75		100%	100%		Integrated	120W @230V	(Starting condition) A) Compressor must be turned on to activate base heater. B) Outside temp is below 32F for 5 minutes. C) Defrost thermistor reads under 30.2F for 5 minutes -All of these must be satisfied to activate. (Stop condition) A) Outside temp is over 46.4F for 5 minutes. B) Defrost thermistor reads over 59F for 5 minutes		-13	"10,000"	z	"25,225"	1.40		4.49	2.09		1.64						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	8993522	MXZ-3C30NAHZ2	Non-Ducted Indoor Units	HMSV-A-CB	11	18	12.5	"28,400"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"11,400"	"28,600"	"28,600"	0.93	2.10	2.10	3.59	4.00	4.00		"13,100"	"18,000"	"28,600"	1.50	1.99	4.19	2.83	2.65	2.00		"12,500"		"28,600"	1.60		4.79	2.29		1.75		100%	100%		Integrated	120W @230V	(Starting condition) A) Compressor must be turned on to activate base heater. B) Outside temp is below 32F for 5 minutes. C) Defrost thermistor reads under 30.2F for 5 minutes -All of these must be satisfied to activate. (Stop condition) A) Outside temp is over 46.4F for 5 minutes. B) Defrost thermistor reads over 59F for 5 minutes		-13	"10,000"	z	"25,225"	1.40		4.49	2.09		1.64						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7434477	MXZ-5C42NAHZ	Non-Ducted Indoor Units	HMSV-A-CB	11	19	13.4	"42,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"24,000"	"48,000"	"48,000"	1.17	3.43	3.43	6.01	4.10	4.10		"24,000"	"35,800"	"48,000"	1.66	3.65	4.87	4.23	2.87	2.89		"24,000"		"48,000"	1.91		5.61	3.69		2.51		100%	100%		Integrated	150W @230V	(Starting condition) A) Compressor must be turned on to activate base heater. B) Outside temp is below 32F for 5 minutes. C) Defrost thermistor reads under 30.2F for 5 minutes -All of these must be satisfied to activate. (Stop condition) A) Outside temp is over 46.4F for 5 minutes. B) Defrost thermistor reads over 59F for 5 minutes		-13	"24,000"	z	"36,000"	2.50		4.80	2.81		2.20						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	8797134	MUZ-FH18NAH2	MSZ-FH18NAH2	HRCU-A-CB-O	11	21	12.5	"17,200"	Yes	Ductless	Single-zone	Mini-Splits		"5,150"	"20,300"	"30,000"	0.43	1.72	3.39	3.51	3.46	2.59		"2,950"	"13,700"	"20,300"	0.43	1.44	2.92	3.51	3.46	2.59		"2,050"		"20,300"	0.35		3.08	1.72		1.93		68%	100%		Integrated	106W @208V; 130W @ 230V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 			750		"14,000"	0.23		2.47	0.96		1.66						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7434482	MXZ-4C36NAHZ	Non-Ducted Indoor Units	HMSV-A-CB	11.3	19.1	14	"36,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"22,500"	"45,000"	"45,000"	1.09	3.34	3.34	6.05	3.95	3.95		"22,500"	"34,000"	"45,000"	1.55	3.50	4.74	4.26	2.85	2.78		"22,500"		"45,000"	1.78		5.46	3.71		2.41		100%	100%		Integrated	150W @230V	(Starting condition) A) Compressor must be turned on to activate base heater. B) Outside temp is below 32F for 5 minutes. C) Defrost thermistor reads under 30.2F for 5 minutes -All of these must be satisfied to activate. (Stop condition) A) Outside temp is over 46.4F for 5 minutes. B) Defrost thermistor reads over 59F for 5 minutes		-13	"22,500"	z	"33,800"	2.33		4.68	2.83		2.12						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	8854559	MUFZ-KJ18NAHZ	MFZ-KJ18NA	HRCU-A-CB-O	11.3	21	12.6	"17,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,700"	"21,000"	"29,000"	0.48	1.73	3.43	3.48	3.56	2.48		"3,250"	"12,800"	"23,000"	0.35	1.43	3.21	2.72	2.62	2.10		"2,260"		"21,000"	0.26		3.00	2.55		2.05		72%	91%		Integrated	98W @208V; 120W @ 230 V			-13	840	z	"15,700"	0.13		2.30	1.89		2.00						
Mitsubishi Electric Cooling & Heating	Mitsubishi	Mr.Slim FH Series	8703451	MUZ-FH12NAH	MSZ-FH12NAH	HRCU-A-CB-O	11.5	26.1	13.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,700"	"13,600"	"21,000"	0.28	0.95	2.30	3.87	4.20	2.68		"2,100"	"8,100"	"13,600"	0.33	0.84	1.96	1.87	2.83	1.96		"1,450"		"13,600"	0.28		1.93	1.52		2.07		65%	100%		Integrated	106W @208V; 130W @ 230V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 			550		"9,900"	0.20		1.73	0.81		1.68						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	8854558	MUFZ-KJ15NAHZ	MFZ-KJ15NA	HRCU-A-CB-O	11.6	21.8	13.5	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,700"	"18,000"	"25,000"	0.48	1.41	3.41	3.48	3.74	2.15		"3,250"	"12,000"	"20,500"	0.35	1.30	3.19	2.72	2.71	1.88		"2,260"		"18,000"	0.26		2.95	2.55		1.79		72%	88%		Integrated	98W @208V; 120W @ 230 V			-13	840	z	"14,000"	0.13		2.28	1.89		1.80						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	7002444	MUZ-FH15NA	MSZ-FH15NA	HRCU-A-CB-O	12	22	12.5	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"5,150"	"18,000"	"24,000"	0.43	1.30	3.36	3.51	4.06	2.09		"2,950"	"11,000"	"18,000"	0.31	1.02	2.48	2.79	3.16	2.13		"2,050"		"18,000"	0.23		2.95	2.61		1.79		75%	100%		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	750	z	"14,600"	0.11		2.35	2.00		1.82						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	8797133	MUZ-FH18NA2	MSZ-FH18NA2	HRCU-A-CB-O	12	21	12.5	"17,200"	Yes	Ductless	Single-zone	Mini-Splits		"5,150"	"20,300"	"30,000"	0.43	1.72	3.39	3.51	3.46	2.59		"2,950"	"13,700"	"20,300"	0.31	1.32	2.80	2.79	3.04	2.12		"2,050"		"20,300"	0.23		2.96	2.61		2.01		68%	100%		Accessory (MAC-642BH-U)	98W @208V; 120W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	750	z	"14,000"	0.11		2.35	2.00		1.74						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series; KJ-Series	8849446	MUFZ-KJ12NAHZ	MFZ-KJ12NA	HRCU-A-CB-O	12	25.5	13.6	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,900"	"13,000"	"22,800"	0.27	0.90	2.39	3.15	4.23	2.80		"1,650"	"8,800"	"14,800"	0.20	0.93	1.89	2.42	2.77	2.29		"1,150"		"13,000"	0.15		1.81	2.25		2.10		57%	88%		Integrated	106W @208V; 130W @ 230 V			-13	420	z	"8,000"	0.07		1.28	1.76		1.83						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7002063	MUZ-FH12NA	MSZ-FH12NA	HRCU-A-CB-O	12.5	26.1	13.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,700"	"13,600"	"21,000"	0.28	0.95	2.30	3.87	4.20	2.68		"2,100"	"8,000"	"13,600"	0.20	0.72	1.90	3.08	3.26	2.10		"1,450"		"13,600"	0.15		1.80	2.83		2.21		65%	100%		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	550	z	"9,900"	0.07		1.60	2.30		1.81						
Mitsubishi Electric Cooling & Heating	Mitsubishi	Mr.Slim FH Series	8797132	MUZ-FH06NAH	MSZ-FH06NAH	HRCU-A-CB-O	12.5	33.1	19	"6,000"	Yes	Ductless	Single-zone	Mini-Splits		"1,600"	"8,700"	"14,000"	0.11	0.55	1.27	4.26	4.68	3.23		920	"5,900"	"10,700"	0.21	0.63	1.13	1.28	2.75	2.78		640		"8,700"	0.19		1.04	0.99		2.45		62%	81%		Integrated	106W @208V; 130W @ 230V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 			240		"2,100"	0.16		0.93	0.44		2.02						
Mitsubishi Electric Cooling & Heating	Mitsubishi	Mr.Slim FH Series	8737963	MUZ-FH09NAH	MSZ-FH09NAH	HRCU-A-CB-O	12.5	30.5	16.1	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"1,600"	"10,900"	"18,000"	0.11	0.55	1.27	4.26	5.86	4.15		920	"6,700"	"12,200"	0.34	0.72	1.26	0.79	2.73	2.84		640		"10,900"	0.32		1.17	0.59		2.73		61%	89%		Integrated	106W @208V; 130W @ 230V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 			240		"7,300"	0.29		1.06	0.24		2.02						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series	8854557	MUFZ-KJ09NAHZ	MFZ-KJ09NA	HRCU-A-CB-O	13	28.2	15.8	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,900"	"11,000"	"19,000"	0.27	0.75	2.37	3.15	4.30	2.35		"1,650"	"7,500"	"13,400"	0.20	0.80	1.86	2.42	2.75	2.11		"1,150"		"11,000"	0.15		1.60	2.25		2.01		58%	82%		Integrated	106W @208V; 130W @ 230 V			-13	420	z	"7,000"	0.07		1.27	1.76		1.62						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	7002062	MUZ-FH09NA	MSZ-FH09NA	HRCU-A-CB-O	13.5	30.5	16.1	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"1,600"	"10,900"	"18,000"	0.11	0.71	1.47	4.26	4.50	3.59		920	"6,700"	"12,200"	0.08	0.60	1.44	3.37	3.27	2.48		640		"10,900"	0.06		1.35	3.13		2.32		61%	89%		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	240	z	"7,300"	0.03		1.25	2.34		1.71						
Mitsubishi Electric Cooling & Heating	Mitsubishi	M-Series H2i	8797130	MUZ-FH06NA	MSZ-FH06NA	HRCU-A-CB-O	13.5	33.1	19	"6,000"	Yes	Ductless	Single-zone	Mini-Splits		"1,600"	"8,700"	"14,000"	0.11	0.55	1.27	4.26	4.68	3.23		920	"5,900"	"10,700"	0.08	0.50	1.00	3.37	3.46	3.13		640		"8,700"	0.06		0.91	3.13		2.80		62%	81%		Accessory (MAC-640BH-U)	106W @208V; 130W @230V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		-13	240	z	"6,400"	0.03		0.80	2.34		2.34						
Nortek Global	Maytag 	M1200	10296728	PSH1BG4CVRX24K	B6VMAX24K-B	HRCU-A-CB	10	19	13.9	"24,600"	YES	Centrally Ducted	N/A	N/A		"10,200"	"22,400"	"24,700"	0.70	1.70	2.20	4.27	3.86	3.29		"6,100"	"14,200"	"15,800"	0.70	1.50	1.90	2.55	2.77	2.44		"4,700"		"12,600"	0.60		1.80	2.30		2.05		51%	80%		N/A	0	0		0	0		0	0.00		0.00	#DIV/0!		#DIV/0!						
Nortek Global	Maytag 	M1200	10296733	PSH1BG4CVRX36K	B6VMAX36K-B	HRCU-A-CB	10	19	12.6	"34,800"	YES	Centrally Ducted	N/A	N/A		"16,500"	"34,400"	"36,800"	1.00	2.70	3.20	4.84	3.73	3.37		"9,900"	"21,800"	"23,900"	1.00	2.40	2.70	2.90	2.66	2.59		"7,500"		"20,100"	0.90		2.60	2.44		2.27		55%	84%		N/A	0	0		0	0		0	0.00		0.00	#DIV/0!		#DIV/0!						
Nortek Global	Maytag 	M1200	5597453	PSH4BG024K	B6VMAX024K-B	HRCU-A-CB	10	19	13.9	"24,600"	Yes	Centrally Ducted	N/A	N/A		"10,200"	"22,400"	"24,700"	0.70	1.70	2.20	4.27	3.86	3.29		"6,100"	"14,200"	"15,800"	0.70	1.50	1.90	2.55	2.77	2.44		"4,700"		"12,600"	0.60		1.80	2.30		2.05		51%	80%		N/A				N/A		z													
Nortek Global	Maytag 	M1200	5597457	PSH4BG036K	B6VMAX036K-B	HRCU-A-CB	10	19	12.9	"34,800"	Yes	Centrally Ducted	N/A	N/A		"16,500"	"34,400"	"36,800"	1.00	2.70	3.20	4.84	3.73	3.37		"9,900"	"21,800"	"23,900"	1.00	2.40	2.70	2.90	2.66	2.59		"7,500"		"20,100"	0.90		2.60	2.44		2.27		55%	84%		N/A				N/A		z													
Panasonic	Panasonic	Exterios E:Deluxe	7958200	CS-E18RKUA	CU-E18RKUAW	HRCU-A-CB-O	10	19.5	13.2	"17,200"	Yes	Ductless	Single-zone	Mini-Splits		"5,800"	"21,600"	"22,000"	0.38	1.75	1.80	4.47	3.62	3.57		"3,400"	"11,600"	"12,000"	0.34	1.30	1.35	2.93	2.62	2.60		"2,600"		"10,100"	0.30		1.32	2.54		2.24		46%	84%		N/A				-5	1900		8200	0.26		1.29	2.14		1.86						
Panasonic	Panasonic	Low-Profile Ducted	9125308	CU-E9SD3UA	CS-E9SD3UAW	HRCU-A-CB-O	10	20.5	13	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"9,000"	"10,200"	0.25	0.69	0.85	4.80	3.82	3.53		"3,200"	"7,900"	"9,000"	0.23	0.91	1.12	4.08	2.55	2.36		"2,400"		"7,800"	0.20		1.11	3.52		2.06		76%	87%		N/A				-5	1600		6700	0.16		1.10	2.93		1.79						
Panasonic	Panasonic	Low-Profile Ducted	9125309	CU-E12SD3UA	CS-E12SD3UAW	HRCU-A-CB-O	10	20	12.5	"11,500"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"11,500"	"13,300"	0.25	0.92	1.15	4.80	3.64	3.39		"3,200"	"9,500"	"11,000"	0.23	1.15	1.44	4.08	2.42	2.24		"2,400"		"9,600"	0.20		1.52	3.52		1.85		72%	87%		N/A				-5	1600		8200	0.16		1.60	2.93		1.50						
Panasonic	Panasonic	RAC Multi E	10221199	CU-3E19RBU-5	Non-Ducted Indoor Unit	HMSV-A-CB	10.5	22	12.55	"19,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"5,500"	"26,000"	"28,400"	0.32	2.06	2.30	5.00	3.70	3.61		"4,100"	"19,800"	"20,800"	0.37	2.37	2.85	3.25	2.45	2.14		"3,800"		"18,900"	0.37		2.64	3.01		2.10		67%	91%		Accessory for outdoor unit CU-3E19RBU-5; Wind Baffle # WINDB-M1				-5	2000		10500	0.26		1.85	2.26		1.66						
Panasonic	Panasonic	Exterios-Series	7958198	CS-E9RKUA	CU-E9RKUAW	HRCU-A-CB-O	11	23	13	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"12,000"	"14,100"	0.20	1.12	1.50	6.00	3.14	2.76		"3,200"	"8,100"	"9,500"	0.19	0.99	1.33	4.94	2.40	2.10		"2,400"		"8,300"	0.16		1.32	4.40		1.84		59%	87%		N/A				-5	1600		7000	0.13		1.31	3.61		1.57						
Panasonic	Panasonic	Exterios-Series	7958199	CS-E12RKUA	CU-E12RKUAW	HRCU-A-CB-O	11	22.5	12.5	"11,500"	Yes	Ductless	Single-zone	Mini-Splits		"4,100"	"13,800"	"16,300"	0.20	1.25	1.71	6.00	3.24	2.79		"3,200"	"8,900"	"10,500"	0.19	1.05	1.44	4.94	2.49	2.14		"2,400"		"9,100"	0.16		1.51	4.40		1.77		56%	87%		N/A				-5	1600		7900	0.13		1.60	3.61		1.45						
Panasonic	Panasonic	Wall Mounted	9571162	CU-XE15SKUA	CS-XE15SKUA	HRCU-A-CB-O	12	22.1	12.5	"15,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,300"	"18,000"	"24,000"	0.20	1.30	2.65	4.90	4.06	2.65		"2,000"	"11,000"	"16,500"	0.16	1.02	2.30	3.67	3.16	2.10		"1,500"		"15,700"	0.15		2.32	2.93		1.98		65%	95%		"included with outdoor unit (Replacement part # CWA341072)"	100	"Heater Energizes 1) Outdoor Ambient lower than or equal to 37 F 2) Heating Operations 3) During defrost cycleControl content 1) Base pan heater will start to heat up when defrost operation starts. 2) Base pan heater will stop heating 10 minutes after defrost stops. Heater won't Energize 1) Outdoor ambient higher than 37 F "		-5	1100		14900	0.13		2.34	2.48		1.87						
Panasonic	Panasonic	Exterios XE	8861565	CU-XE12SKUA	CS-XE12SKUA	HRCU-A-CB-O	12.5	26.2	14.7	"11,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"13,600"	"23,000"	0.15	0.95	2.10	5.93	4.20	3.20		"2,100"	"10,400"	"12,500"	0.14	1.05	1.67	4.40	2.90	2.20		"1,700"		"12,500"	0.12		1.99	4.15		1.84		54%	100%		included with outdoor unit CU-XE12SKUA	780	"Heater Energizes 1) Outdoor Ambient lower than or equal to 37 F 2) Heating Operations 3) During defrost cycle Control content 1) Base pan heater will start to heat up when defrost operation starts. 2) Base pan heater will stop heating 10 minutes after defrost stops. Heater won't Energize 1) Outdoor ambient higher than 37 F "		-5	1300		11800	0.1		2.01	3.81		1.72						
Panasonic	Panasonic	Exterios XE	8860533	CU-XE9SKUA	CS-XE9SKUA	HRCU-A-CB-O	14	30.6	17.05	"8,700"	Yes	Ductless	Single-zone	Mini-Splits		"3,000"	"10,900"	"18,000"	0.15	0.67	1.65	5.93	4.78	3.21		"2,100"	"8,000"	"11,000"	0.14	0.75	1.38	4.40	3.13	2.34		"1,700"		"11,000"	0.12		1.73	4.15		1.86		61%	100%		included with outdoor unit CU-XE9SKUA	510	"Heater Energizes 1) Outdoor Ambient lower than or equal to 37 F 2) Heating Operations 3) During defrost cycle Control content 1) Base pan heater will start to heat up when defrost operation starts. 2) Base pan heater will stop heating 10 minutes after defrost stops. Heater won't Energize 1) Outdoor ambient higher than 37 F "		-5	1300		10400	0.1		1.72	3.81		1.77						
SAMSUNG ELECTRONCS	SAMSUNG	Smart Whisper Series	8677407	AR09KSWSJWKX	AR09KSWSJWKN	HRCU-A-CB-O	10.5	23	15	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		3378	12000	12360	0.19	0.88	0.93	5.21	4.00	3.90		3220	5600	12612	0.27	0.63	1.62	3.50	2.61	2.28		3157		10560	0.30		1.71	3.08		1.81		85%	84%		N/A	N/A	N/A		N/A															
SAMSUNG ELECTRONICS	SAMSUNG		8203117	AC030JXSCCH/AA	AC030JNHDCH/AA	HRCU-A-CB	10.1	21	13	"30,000"	Yes	Centrally Ducted	N/A	Mini-Splits		13000	32000	37000	0.92	2.468	3.18	4.14	3.80	3.41		12500	20800	36000	1.11	2.33	5.38	3.30	2.62	1.96		12000		32000	1.44		5.22	2.44		1.80		86%	89%		Integrated	150W @230V	"[Operation condition - (1)&(2)&(3)&(4)]  (1) Heating mode (2) Compressor must be turned on  (3) Outside temperature is below 30F for more than 5 minutes.  (4) Outdoor fan motor is turned ON."		-13	12000		28000	1.71		5.88	2.06		1.40						
SAMSUNG ELECTRONICS	SAMSUNG		8717080	AC009KXADCH	AC009KNLDCH	HRCU-A-CB	10.5	21	13.95	"9,000"	Yes	Centrally Ducted	N/A	Mini-Splits		2900	12000	14000	0.25	1.127	1.5	3.40	3.12	2.74		2720	7800	12000	0.31	0.92	1.54	2.57	2.48	2.28		2200		10700	0.34		1.62	1.90		1.94		76%	89%		N/A				-4	1800		8000	0.31		1.52	1.70		1.54						
SAMSUNG ELECTRONICS	SAMSUNG	Wind Free RAC Series	10103172	AR09MSWXCWKX	AR09MSWXCWKN	HRCU-A-CB-O	10	21	14.05	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		3000	11000	11330	0.16	0.86	0.903	5.50	3.75	3.68		3311	5500	10800	0.26	0.62	1.44	3.75	2.58	2.19		3435		9680	0.30		1.61	3.38		1.76		85%	90%		N/A	N/A	N/A		N/A															
SAMSUNG ELECTRONICS	SAMSUNG	Max Heat RAC Series	9035284	AR12KSWSPWKX	AR12KSWSPWKN	HRCU-A-CB-O	10	21.5	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		2730	14000	14420	0.17	0.97	1.0185	4.71	4.23	4.15		3095	7500	16200	0.29	0.90	1.90	3.13	2.43	2.50		2730		14200	0.33		2.25	2.42		1.85		98%	88%		Integrated	230VAC 150W	Temp. below 0 degrees		-13	2184		11360	0.26		1.67	2.46		1.99						
