General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
Fujitsu		7993243	AOU15RLS3	ASU15RLS3	Yes	13.4	25.3	13.9	Yes	Ductless	Single-zone		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.29	4.59	3.20		"2,798"	"11,200"	"21,500"	0.20	1.04	2.59	4.10	3.14	2.43		"2,696"		"20,500"	0.21		2.75	3.76		2.18		N/A				-5	"2,388"	z	"18,500"	0.21		2.74	3.33		1.98
Fujitsu		8004700	AOU9RLS3H	ASU9RLS3	Yes	14	33	18	Yes	Ductless	Single-zone		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.50	5.33	3.34		"2,286"	"7,000"	"16,000"	0.36	0.61	2.21	1.86	3.36	2.12		"2,150"		"15,000"	0.37		2.25	1.70		1.95		Integrated	150	Cold outside & demand		-15	"1,535"	z	"11,000"	0.38		2.23	1.18		1.44
Fujitsu		7993244	AOU12RLS3H	ASU12RLS3	Yes	13.8	29.3	15.2	Yes	Ductless	Single-zone		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.50	4.64	3.34		"2,491"	"9,600"	"17,500"	0.36	0.88	2.21	2.03	3.18	2.32		"2,320"		"16,500"	0.37		2.25	1.84		2.15		Integrated	150	Cold outside & demand		-15	"1,638"	z	"11,500"	0.38		2.23	1.26		1.51
Fujitsu		7993245	AOU15RLS3H	ASU15RLS3	Yes	13.3	25.3	13.9	Yes	Ductless	Single-zone		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.29	4.59	3.20		"2,798"	"11,200"	"21,500"	0.35	1.07	2.74	2.34	3.06	2.30		"2,696"		"20,500"	0.36		2.90	2.19		2.07		Integrated	150	Cold outside & demand		-15	"2,081"	z	"16,000"	0.37		2.88	1.65		1.63
Fujitsu		6936995	AOU9RLFF	AGU9RLF	Yes	12.6	26	16	Yes	Ductless	Single-zone		"3,100"	"12,000"	"18,800"	0.20	0.88	1.84	4.50	4.71	2.99		"2,320"	"7,500"	"14,000"	0.20	0.78	1.82	3.40	2.80	2.25		"2,115"		"14,000"	0.19		2.10	3.26		1.95		N/A				-5	"2,047"	z	"12,500"	0.22		2.00	2.73		1.83
Fujitsu		6936996	AOU12RLFF	AGU12RLF	Yes	11.6	22.7	13.1	Yes	Ductless	Single-zone		"3,100"	"16,000"	"19,500"	0.20	1.44	1.84	4.50	3.87	3.10		"2,457"	"10,600"	"15,000"	0.24	1.19	2.17	3.00	2.60	2.02		"2,423"		"15,000"	0.24		2.17	2.96		2.02		N/A				-5	"2,115"	z	"13,000"	0.22		2.06	2.82		1.85
Fujitsu		6936997	AOU15RLFF	AGU15RLF	Yes	11.2	20.3	12.5	Yes	Ductless	Single-zone		"3,100"	"18,000"	"20,800"	0.18	1.58	2.01	5.00	3.68	3.03		"2,832"	"11,600"	"19,000"	0.32	1.30	2.89	2.59	2.62	1.93		"2,798"		"18,500"	0.26		2.91	3.15		1.86		N/A				-5	"2,593"	z	"17,500"	0.26		2.86	2.92		1.79
Fujitsu		6937309	AOU9RLFFH	AGU9RLF	Yes	12.4	26	16	Yes	Ductless	Single-zone		"3,100"	"12,000"	"18,800"	0.20	0.88	1.84	4.50	4.71	2.99		"2,320"	"7,500"	"14,000"	0.35	0.78	1.97	1.94	2.80	2.08		"2,115"		"14,000"	0.34		2.25	1.82		1.82		Integrated	150	Cold outside & demand		-15	"1,843"	z	"11,000"	0.38		2.07	1.42		1.56
Fujitsu		6937310	AOU12RLFFH	AGU12RLF	Yes	11.3	22.7	13.1	Yes	Ductless	Single-zone		"3,100"	"16,000"	"19,500"	0.20	1.44	1.84	4.50	3.87	3.10		"2,457"	"10,600"	"15,000"	0.39	1.19	2.32	1.85	2.60	1.89		"2,423"		"15,000"	0.39		2.32	1.82		1.89		Integrated	150	Cold outside & demand		-15	"2,252"	z	"14,000"	0.48		2.99	1.38		1.37
Fujitsu		6937311	AOU15RLFFH	AGU15RLF	Yes	11	20.3	12.5	Yes	Ductless	Single-zone		"3,100"	"18,000"	"20,800"	0.18	1.58	2.01	5.00	3.68	3.03		"2,832"	"11,600"	"19,000"	0.47	1.30	3.04	1.77	2.62	1.83		"2,798"		"18,500"	0.41		3.06	2.00		1.77		Integrated	150	Cold outside & demand		-15	"2,320"	z	"15,500"	0.41		2.93	1.66		1.55
