	 tmpf 
1-2-18 6:10 EDT	M
1-2-18 6:15 EDT	M
1-2-18 6:20 EDT	M
1-2-18 6:25 EDT	M
1-2-18 6:30 EDT	M
1-2-18 6:35 EDT	M
1-2-18 6:40 EDT	M
1-2-18 6:45 EDT	M
1-2-18 6:50 EDT	M
1-2-18 6:55 EDT	M
1-2-18 6:56 EDT	-9.9
1-2-18 7:00 EDT	M
1-2-18 7:05 EDT	M
1-2-18 7:10 EDT	M
1-2-18 7:15 EDT	M
1-2-18 7:20 EDT	M
1-2-18 7:25 EDT	M
1-2-18 7:30 EDT	M
1-2-18 7:35 EDT	M
1-2-18 7:40 EDT	M
1-2-18 7:45 EDT	M
1-2-18 7:50 EDT	M
1-2-18 7:55 EDT	M
1-2-18 7:56 EDT	-9.9
1-2-18 8:00 EDT	M
1-2-18 8:05 EDT	M
1-2-18 8:10 EDT	M
1-2-18 8:15 EDT	M
1-2-18 8:20 EDT	M
1-2-18 8:25 EDT	M
1-2-18 8:30 EDT	M
1-2-18 8:35 EDT	M
1-2-18 8:40 EDT	M
1-2-18 8:45 EDT	M
1-2-18 8:50 EDT	M
1-2-18 8:55 EDT	M
1-2-18 8:56 EDT	-9.9
1-2-18 9:00 EDT	M
1-2-18 9:05 EDT	M
1-2-18 9:10 EDT	M
1-2-18 9:15 EDT	M
1-2-18 9:20 EDT	M
1-2-18 9:25 EDT	M
1-2-18 9:30 EDT	M
1-2-18 9:35 EDT	M
1-2-18 9:40 EDT	M
1-2-18 9:45 EDT	M
1-2-18 9:50 EDT	M
1-2-18 9:55 EDT	M
1-2-18 9:56 EDT	-13
1-2-18 10:00 EDT	M
1-2-18 10:05 EDT	M
1-2-18 10:10 EDT	M
1-2-18 10:15 EDT	M
1-2-18 10:20 EDT	M
1-2-18 10:25 EDT	M
1-2-18 10:30 EDT	M
1-2-18 10:35 EDT	M
1-2-18 10:40 EDT	M
1-2-18 10:45 EDT	M
1-2-18 10:50 EDT	M
1-2-18 10:55 EDT	M
1-2-18 10:56 EDT	-11
1-2-18 11:00 EDT	M
1-2-18 11:05 EDT	M
1-2-18 11:10 EDT	M
1-2-18 11:15 EDT	M
1-2-18 11:20 EDT	M
1-2-18 11:25 EDT	M
1-2-18 11:30 EDT	M
1-2-18 11:35 EDT	M
1-2-18 11:40 EDT	M
1-2-18 11:45 EDT	M
1-2-18 11:50 EDT	M
1-2-18 11:55 EDT	M
1-2-18 11:56 EDT	-13
1-2-18 12:00 EDT	M
1-2-18 12:05 EDT	M
1-2-18 12:10 EDT	M
1-2-18 12:15 EDT	M
1-2-18 12:20 EDT	M
1-2-18 12:25 EDT	M
1-2-18 12:30 EDT	M
1-2-18 12:35 EDT	M
1-2-18 12:40 EDT	M
1-2-18 12:45 EDT	M
1-2-18 12:50 EDT	M
1-2-18 12:55 EDT	M
1-2-18 12:56 EDT	-11.9
1-2-18 13:00 EDT	M
1-2-18 13:05 EDT	M
1-2-18 13:10 EDT	M
1-2-18 13:15 EDT	M
1-2-18 13:20 EDT	M
1-2-18 13:25 EDT	M
1-2-18 13:30 EDT	M
1-2-18 13:35 EDT	M
1-2-18 13:40 EDT	M
1-2-18 13:45 EDT	M
1-2-18 13:50 EDT	M
1-2-18 13:55 EDT	M
1-2-18 13:56 EDT	0
1-2-18 14:00 EDT	M
1-2-18 14:05 EDT	M
1-2-18 14:10 EDT	M
1-2-18 14:15 EDT	M
1-2-18 14:20 EDT	M
1-2-18 14:25 EDT	M
1-2-18 14:30 EDT	M
1-2-18 14:35 EDT	M
1-2-18 14:40 EDT	M
1-2-18 14:45 EDT	M
1-2-18 14:50 EDT	M
1-2-18 14:55 EDT	M
1-2-18 14:56 EDT	7
1-2-18 15:00 EDT	M
1-2-18 15:05 EDT	M
1-2-18 15:10 EDT	M
1-2-18 15:15 EDT	M
1-2-18 15:20 EDT	M
1-2-18 15:25 EDT	M
1-2-18 15:30 EDT	M
1-2-18 15:35 EDT	M
1-2-18 15:40 EDT	M
1-2-18 15:45 EDT	M
1-2-18 15:50 EDT	M
1-2-18 15:55 EDT	M
1-2-18 15:56 EDT	9
1-2-18 16:00 EDT	M
1-2-18 16:05 EDT	M
1-2-18 16:10 EDT	M
1-2-18 16:15 EDT	M
1-2-18 16:20 EDT	M
1-2-18 16:25 EDT	M
1-2-18 16:30 EDT	M
1-2-18 16:35 EDT	M
1-2-18 16:40 EDT	M
1-2-18 16:45 EDT	M
1-2-18 16:50 EDT	M
1-2-18 16:55 EDT	M
1-2-18 16:56 EDT	10.9
1-2-18 17:00 EDT	M
1-2-18 17:05 EDT	M
1-2-18 17:10 EDT	M
1-2-18 17:15 EDT	M
1-2-18 17:20 EDT	M
1-2-18 17:25 EDT	M
1-2-18 17:30 EDT	M
1-2-18 17:35 EDT	M
1-2-18 17:40 EDT	M
1-2-18 17:45 EDT	M
1-2-18 17:50 EDT	M
1-2-18 17:55 EDT	M
1-2-18 17:56 EDT	12.9
1-2-18 18:00 EDT	M
1-2-18 18:05 EDT	M
1-2-18 18:10 EDT	M
1-2-18 18:15 EDT	M
1-2-18 18:20 EDT	M
1-2-18 18:25 EDT	M
1-2-18 18:30 EDT	M
1-2-18 18:35 EDT	M
1-2-18 18:40 EDT	M
1-2-18 18:45 EDT	M
1-2-18 18:50 EDT	M
1-2-18 18:55 EDT	M
1-2-18 18:56 EDT	15.1
1-2-18 19:00 EDT	M
1-2-18 19:05 EDT	M
1-2-18 19:10 EDT	M
1-2-18 19:15 EDT	M
1-2-18 19:20 EDT	M
1-2-18 19:25 EDT	M
1-2-18 19:30 EDT	M
1-2-18 19:35 EDT	M
1-2-18 19:40 EDT	M
1-2-18 19:45 EDT	M
1-2-18 19:50 EDT	M
1-2-18 19:55 EDT	M
1-2-18 19:56 EDT	17.1
1-2-18 20:00 EDT	M
